Title,Link,Pic,displayPic,floar,floar1,verticalTable,verticalTable1,verticalTable2,priceLabel,windowFacing,layoutSpace,priceLabel1,layoutSpace1,unitSummary,memberName,memberName1,verticalTable3,btn-favorite--watch,anchor,anchor1,relatedKeywordsData,relatedKeywordsData1,relatedKeywordsData2,relatedKeywordsData3,relatedKeywordsData4,relatedKeywordsData5,textFeatureComment,onlineIcon,memberName2,relatedKeywordsData6,relatedKeywordsData7
ライオンズマンション高井戸南,https://www.homes.co.jp/mansion/b-1431520000004/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fmpim2rvg3p8djtd.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,8階南,8階南,京王井の頭線 高井戸駅 徒歩11分東京都杉並区上高井戸2丁目8-18,RC(鉄筋コンクリート) / 8階建,1996年02月（築25年）,"4,849万円",南,3LDK/65.84m²,"4,849万円",3LDK/65.84m²,28枚,（株式会社FURVAL）,（株式会社FURVAL）,24戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1431520000004/,リノベーション・リフォーム,リノベーション・リフォーム,エレベーター,エレベーター,最上階,最上階,角部屋、眺望良好 ルーフバルコニー付きの新規リノベーション物件です！,,,,
ライオンズステージキャピタルイースト,https://www.homes.co.jp/mansion/b-35005100001724/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F8dog3oxj4o99i7m.jpg&width=208&height=138,"https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584","12階西,5階南,2階南,1階東",12階西,東京メトロ東西線 南砂町駅 徒歩12分東京都江東区東砂8丁目,SRC(鉄骨鉄筋コンクリート) / 14階建,2000年04月（築21年）,"4,300万円,4,280万円,4,799万円,4,090万円","西,南,南,東","2LDK/61.8m²,4LDK/95.42m²,3SLDK/86.36m²,3LDK/70.06m²","4,300万円",2LDK/61.8m²,17枚,"（大成有楽不動産販売株式会社　東陽町センター）,（株式会社大京穴吹不動産　大島店【電話受付：東京本社】）,（株式会社未来都市空間）,オンライン相談可",（大成有楽不動産販売株式会社　東陽町センター）,320戸,"お気に入りに登録,お気に入りに登録,お気に入りに登録,お気に入りに登録","詳細を見る,詳細を見る,詳細を見る,詳細を見る",https://www.homes.co.jp/mansion/b-35005100001724/,"駐車場あり,ペット相談可,ペット相談可,ペット相談可",駐車場あり,"大規模マンション,オートロック,駐車場あり,オートロック",大規模マンション,"エレベーター,オートロック,エレベーター",エレベーター,,オンライン相談可,（株式会社大京穴吹不動産　門前仲町店【電話受付：東京本社】）,"大規模マンション,エレベーター,大規模マンション","角部屋,大規模マンション"
コスモ町屋リバーシティ,https://www.homes.co.jp/mansion/b-1390990000126/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fawqv2ru0ds0tuex.jpg&width=208&height=138,"https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584","8階東,3階南",8階東,東京メトロ千代田線 町屋駅 徒歩14分東京都荒川区町屋5丁目16-18,RC(鉄筋コンクリート) / 8階建,1991年11月（築29年）,"3,799万円,3,180万円","東,南","3LDK/71.55m²,3LDK/61.06m²","3,799万円",3LDK/71.55m²,22枚,"オンライン相談可,オンライン相談可",オンライン相談可,108戸,"お気に入りに登録,お気に入りに登録","詳細を見る,詳細を見る",https://www.homes.co.jp/mansion/b-1418400001962/,"エレベーター,駐車場あり",エレベーター,"最上階,オートロック",最上階,"スーパー800m以内,エレベーター",スーパー800m以内,新型コロナ対策：TV電話で内見代行可能お客様は外出せず希望の物件を担当が現地から撮影します。,"オンライン相談可,オンライン相談可","（株式会社Banc）,（シーズクリエイト株式会社　営業本部）",スーパー800m以内,
パークホームズ久我山五丁目,https://www.homes.co.jp/mansion/b-1090830003125/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fkfgp2rjdcm9linr.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,3階東,3階東,京王井の頭線 富士見ヶ丘駅 徒歩7分東京都杉並区久我山5丁目28-2,RC(鉄筋コンクリート) / 5階建,2006年02月（築15年）,"5,890万円",東,2LDK/60.41m²,"5,890万円",2LDK/60.41m²,21枚,オンライン相談可,オンライン相談可,33戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1090830003125/,ペット相談可,ペット相談可,オートロック,オートロック,エレベーター,エレベーター,＼当社売主／本日ご内覧出来ます。東向きの2LDK+WIC。ペット飼育2匹まで可。ダブルオートロック。,オンライン相談可,（グローバルベイス株式会社）,スーパー800m以内,
アーバンメゾン東大島,https://www.homes.co.jp/mansion/b-1090830003111/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fgb5r2rjdcm9lhkv.jpg&width=208&height=138,"https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584","14階東,14階東,13階東,13階東",14階東,都営新宿線 東大島駅 徒歩2分東京都江東区大島9丁目4-3,SRC(鉄骨鉄筋コンクリート) / 15階建,1989年06月（築32年）,"4,480万円,4,280万円,3,000万円,3,000万円","東,東,東,東","3LDK/64.22m²,3LDK/64.22m²,1LDK/56.24m²,1LDK/56.24m²","4,480万円",3LDK/64.22m²,17枚,"（セコムホームライフ株式会社　住まいの情報館船堀館）,オンライン相談可,オンライン相談可,オンライン相談可",（セコムホームライフ株式会社　住まいの情報館船堀館）,70戸,"お気に入りに登録,お気に入りに登録,お気に入りに登録,お気に入りに登録","詳細を見る,詳細を見る,詳細を見る,詳細を見る",https://www.homes.co.jp/mansion/b-1408950000025/,"駐車場あり,リノベーション・リフォーム,駐車場あり,エレベーター",駐車場あり,"駐車場あり,エレベーター,スーパー800m以内",駐車場あり,"エレベーター,スーパー800m以内,角部屋",エレベーター,東大島駅徒歩2分、駅近のリノベーション物件。上層階のパークビュー、陽当たり、通風、眺望良好。,"オンライン相談可,オンライン相談可,オンライン相談可","（グローバルベイス株式会社）,（株式会社東宝ハウス品川）,（有限会社アリウム）",角部屋,
Grace Court Hikawadai,https://www.homes.co.jp/mansion/b-1090830003158/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Flm9e2rjdcm9ll7f.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,3階西,3階西,東京メトロ副都心線 氷川台駅 徒歩6分東京都練馬区氷川台3丁目17-9,RC(鉄筋コンクリート) / 4階建,1988年03月（築33年）,"4,680万円",西,2LDK/61.95m²,"4,680万円",2LDK/61.95m²,22枚,オンライン相談可,オンライン相談可,85戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1090830003158/,リノベーション・リフォーム,リノベーション・リフォーム,ペット相談可,ペット相談可,エレベーター,エレベーター,＼当社売主／平成23年一棟リノベーション工事済。陽当りと風通しのある住戸です。,オンライン相談可,（グローバルベイス株式会社）,スーパー800m以内,
エンゼルハイム竹の塚駅前,https://www.homes.co.jp/mansion/b-1431520000005/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpoy42rvg3p8djw5.jpg&width=208&height=138,"https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584","8階南,8階南",8階南,東武伊勢崎線 竹ノ塚駅 徒歩6分東京都足立区竹の塚1丁目36-7,SRC(鉄骨鉄筋コンクリート) / 10階建,1995年03月（築26年）,"3,180万円,3,149万円","南,南","2SLDK/61.88m²,2SLDK/61.88m²","3,180万円",2SLDK/61.88m²,22枚,"（センチュリー21住まい＆スマイル）,（株式会社FURVAL）",（センチュリー21住まい＆スマイル）,109戸,"お気に入りに登録,お気に入りに登録","詳細を見る,詳細を見る",https://www.homes.co.jp/mansion/b-88890004956/,"オートロック,リノベーション・リフォーム",オートロック,"エレベーター,駐車場あり",エレベーター,エレベーター,エレベーター,本日ご覧頂けます。即入居可能。見学予約は0120-326-021まで!,,,,
ライオンズガーデン北綾瀬第２,https://www.homes.co.jp/mansion/b-1431520000002/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fqbws2rvg3p8djnt.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,3階南,3階南,東京メトロ千代田線 北綾瀬駅 徒歩13分東京都足立区辰沼1丁目1-9,SRC(鉄骨鉄筋コンクリート) / 9階建,1998年10月（築23年）,"3,180万円",南,3LDK/63.63m²,"3,180万円",3LDK/63.63m²,16枚,（株式会社FURVAL）,（株式会社FURVAL）,65戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1431520000002/,オートロック,オートロック,エレベーター,エレベーター,スーパー800m以内,スーパー800m以内,,,,,
ヴェラハイツ浅草橋,https://www.homes.co.jp/mansion/b-35005010001807/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fntys3oxj0jewg66.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,3階北西,3階北西,都営浅草線 浅草橋駅 徒歩7分東京都台東区蔵前1丁目,RC(鉄筋コンクリート) / 8階建,1998年02月（築23年）,"4,180万円",北西,2LDK/54.55m²,"4,180万円",2LDK/54.55m²,15枚,（大成有楽不動産販売株式会社　本社センター）,（大成有楽不動産販売株式会社　本社センター）,21戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-35005010001807/,,,,,,,,,,,
藤和シティホームズ南麻布,https://www.homes.co.jp/mansion/b-1090830003095/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fd7ob2rjdcm9lgcf.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,11階南東,11階南東,東京メトロ南北線 麻布十番駅 徒歩3分東京都港区南麻布1丁目6-4,SRC(鉄骨鉄筋コンクリート) / 14階建,1999年03月（築22年）,"8,980万円",南東,2LDK/60.39m²,"8,980万円",2LDK/60.39m²,18枚,オンライン相談可,オンライン相談可,26戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1090830003095/,ペット相談可,ペット相談可,駐車場あり,駐車場あり,オートロック,オートロック,当社売主。本日ご内覧出来ます。「麻布十番駅」「麻布十番商店街」徒歩3分、ペット飼育可（規定なし）。,オンライン相談可,（グローバルベイス株式会社）,エレベーター,角部屋
武蔵小金井サンハイツ,https://www.homes.co.jp/mansion/b-1431520000010/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fsqce2rvg3p8dka1.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,4階南,4階南,ＪＲ中央線 東小金井駅 徒歩9分東京都小金井市緑町5丁目14-5,SRC(鉄骨鉄筋コンクリート) / 5階建,1985年08月（築36年）,"3,299万円",南,2SLDK/66.03m²,"3,299万円",2SLDK/66.03m²,14枚,（株式会社FURVAL）,（株式会社FURVAL）,-,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1431520000010/,リノベーション・リフォーム,リノベーション・リフォーム,スーパー800m以内,スーパー800m以内,,,中央線東小金井駅徒歩９分！公園が近くにある新規リノベーション,,,,
スターロワイヤル常盤台壱番館,https://www.homes.co.jp/mansion/b-1431520000007/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fwkge2rvg3p8dk1p.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,5階西,5階西,東武東上線 ときわ台駅 徒歩11分東京都板橋区東新町2丁目8-6,RC(鉄筋コンクリート) / 6階建,1987年09月（築34年）,"3,349万円",西,2LDK/58.05m²,"3,349万円",2LDK/58.05m²,30枚,（株式会社FURVAL）,（株式会社FURVAL）,-,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1431520000007/,リノベーション・リフォーム,リノベーション・リフォーム,エレベーター,エレベーター,スーパー800m以内,スーパー800m以内,新耐震基準,,,,
ガーデンホーム落合ヒルズ,https://www.homes.co.jp/mansion/b-1090830003124/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fd06z2rjdcm9likz.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,1階南東,1階南東,西武新宿線 下落合駅 徒歩4分東京都新宿区中落合2丁目8-1,RC(鉄筋コンクリート) / 3階建,1996年11月（築24年）,"6,290万円",南東,3LDK/66.62m²,"6,290万円",3LDK/66.62m²,25枚,オンライン相談可,オンライン相談可,17戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1090830003124/,駐車場あり,駐車場あり,オートロック,オートロック,エレベーター,エレベーター,＼当社売主／本日ご内覧出来ます。南東向きの3LDK。テラスと専用庭付き。全居室に窓とクローゼット有。,オンライン相談可,（グローバルベイス株式会社）,スーパー800m以内,
中葛西スカイハイツ,https://www.homes.co.jp/mansion/b-1431520000044/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fw7a22rvg3p8dmwj.jpg&width=208&height=138,"https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584","7階東,6階東",7階東,東京メトロ東西線 葛西駅 徒歩8分東京都江戸川区中葛西5丁目,SRC(鉄骨鉄筋コンクリート) / 11階建,1984年06月（築37年）,"3,249万円,3,199万円","東,東","3LDK/63.02m²,3LDK/63.02m²","3,249万円",3LDK/63.02m²,21枚,"オンライン相談可,（株式会社FURVAL）",オンライン相談可,166戸,"お気に入りに登録,お気に入りに登録","詳細を見る,詳細を見る",https://www.homes.co.jp/mansion/b-1226010022831/,"オートロック,リノベーション・リフォーム",オートロック,"エレベーター,ペット相談可",エレベーター,オートロック,オートロック,敷地内に公園が設けられており、エントランスアプローチには車イスで通れるスロープも設置されています。,オンライン相談可,（株式会社東宝ハウス船橋）,,
スターハイツ台東,https://www.homes.co.jp/mansion/b-1090830003127/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fc63p2rjdcm9litb.jpg&width=208&height=138,"https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584","3階東,3階東",3階東,都営大江戸線 新御徒町駅 徒歩6分東京都台東区台東2丁目17-1,SRC(鉄骨鉄筋コンクリート) / 8階建,1982年03月（築39年）,"2,980万円,2,588万円","東,東","2DK/43.88m²,1LDK/34.67m²","2,980万円",2DK/43.88m²,16枚,"オンライン相談可,（朝日住宅株式会社 新宿店）",オンライン相談可,26戸,"お気に入りに登録,お気に入りに登録","詳細を見る,詳細を見る",https://www.homes.co.jp/mansion/b-1090830003127/,"ペット相談可,ペット相談可",ペット相談可,エレベーター,エレベーター,角部屋,角部屋,＼当社売主／本日ご内覧出来ます。東南角部屋、東向きの2DK。全居室に窓あり。ペット飼育可。,オンライン相談可,（グローバルベイス株式会社）,,
